"celltype","fragments","large_peaks","all_peaks","path"
"limb","17673868","119309","184903","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/limb_peaks.narrowPeak"
"lung","4386","1580","1580","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/lung_peaks.narrowPeak"
"perimysium","1500075","57507","64996","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/perimysium_peaks.narrowPeak"
"splanchnic_mesoderm","3287947","51597","73727","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/splanchnic_mesoderm_peaks.narrowPeak"
"craniofacial","260976","11640","11670","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/craniofacial_peaks.narrowPeak"
"stomach","320948","14248","14277","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/stomach_peaks.narrowPeak"
"mast_megakaryocyte_erythroid_cells","316745608","207491","512346","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/mast_megakaryocyte_erythroid_cells_peaks.narrowPeak"
"haematopoietic_progenitors","114570","2684","2684","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/haematopoietic_progenitors_peaks.narrowPeak"
"paraxial_mesoderm","136669171","173842","375719","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/paraxial_mesoderm_peaks.narrowPeak"
"intermediate_mesoderm","433902","17832","17911","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/intermediate_mesoderm_peaks.narrowPeak"
"pharyngeal","39783909","125985","226420","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/pharyngeal_peaks.narrowPeak"
"neuroglial_progenitors","209324404","202063","486148","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/neuroglial_progenitors_peaks.narrowPeak"
"dermis","48339700","136635","256941","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/dermis_peaks.narrowPeak"
"hindbrain_and_spinal_progenitors_and_neurons","82871127","164732","354096","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/hindbrain_and_spinal_progenitors_and_neurons_peaks.narrowPeak"
"skeletal_muscle","101350902","170853","365733","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/skeletal_muscle_peaks.narrowPeak"
"oesophageal","1772870","64419","77468","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/oesophageal_peaks.narrowPeak"
"spine","2943124","45938","63385","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/spine_peaks.narrowPeak"
"epicardium","6444","2328","2328","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/epicardium_peaks.narrowPeak"
"audiovisual_neuroepithelium","397796","18597","18684","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/audiovisual_neuroepithelium_peaks.narrowPeak"
"gonadal","232977","8875","8884","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/gonadal_peaks.narrowPeak"
"neurons","164151293","193789","447943","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/neurons_peaks.narrowPeak"
"lateral_plate_mesoderm","29202377","112620","194348","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/lateral_plate_mesoderm_peaks.narrowPeak"
"glia","80961557","167218","341836","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/glia_peaks.narrowPeak"
"myeloid_and_lymphoid_cells","11200419","105131","155836","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/myeloid_and_lymphoid_cells_peaks.narrowPeak"
"renal","155053","3163","3163","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/renal_peaks.narrowPeak"
"liver","1385089","50318","56229","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/liver_peaks.narrowPeak"
"osteochondral","8473527","74156","111299","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/osteochondral_peaks.narrowPeak"
"intestinal","39861","257","257","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/intestinal_peaks.narrowPeak"
"fibroblasts","476877658","213506","524449","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/fibroblasts_peaks.narrowPeak"
"epidermis","21978513","102495","170006","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/epidermis_peaks.narrowPeak"
"tendons","10411759","99333","143717","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/tendons_peaks.narrowPeak"
"vasculature","121083121","169215","367450","/lustre/scratch127/cellgen/cellgeni/aljes/atac-pipeline/results/narrowPeaks/vasculature_peaks.narrowPeak"
